po_line_id,po_name,current_cost_line_id,expected_boq_line_id,reason
16567,APO2602543,1581,7928,no job.cost.line yet for expected BOQ line
16530,APO2602540,1644,7991,no job.cost.line yet for expected BOQ line
16367,APO2602525,1518,12655,no job.cost.line yet for expected BOQ line
16215,APO2602491,1520,12621,no job.cost.line yet for expected BOQ line
16151,APO2602478,1525,12622,no job.cost.line yet for expected BOQ line
15889,APO2602436,1568,12440,no job.cost.line yet for expected BOQ line
13660,APO2602128,1460,10487,no job.cost.line yet for expected BOQ line
13625,APO2602120,1569,10387,no job.cost.line yet for expected BOQ line
13166,APO2602028,2331,10345,no job.cost.line yet for expected BOQ line
13167,APO2602028,2332,10346,no job.cost.line yet for expected BOQ line
13168,APO2602028,2333,10347,no job.cost.line yet for expected BOQ line
13169,APO2602028,2335,10348,no job.cost.line yet for expected BOQ line
13170,APO2602028,2336,10349,no job.cost.line yet for expected BOQ line
13171,APO2602028,2337,10350,no job.cost.line yet for expected BOQ line
13172,APO2602028,2338,10351,no job.cost.line yet for expected BOQ line
13173,APO2602028,2339,10352,no job.cost.line yet for expected BOQ line
13174,APO2602028,2340,10353,no job.cost.line yet for expected BOQ line
13175,APO2602028,2341,10354,no job.cost.line yet for expected BOQ line
13176,APO2602028,2342,10355,no job.cost.line yet for expected BOQ line
13177,APO2602028,2343,10356,no job.cost.line yet for expected BOQ line
13178,APO2602028,2329,10357,no job.cost.line yet for expected BOQ line
13059,APO2602015,3426,10257,no job.cost.line yet for expected BOQ line
13060,APO2602015,3427,10258,no job.cost.line yet for expected BOQ line
11952,APO2601870,3311,10080,no job.cost.line yet for expected BOQ line
11953,APO2601870,3311,10081,no job.cost.line yet for expected BOQ line
11934,APO2601867,1545,10082,no job.cost.line yet for expected BOQ line
11741,APO2601813,1421,9974,no job.cost.line yet for expected BOQ line
11468,APO2601768,1382,9150,no job.cost.line yet for expected BOQ line
11433,APO2601759,3849,9998,no job.cost.line yet for expected BOQ line
11432,APO2601759,996,9994,no job.cost.line yet for expected BOQ line
11224,APO2601713,3290,9937,no job.cost.line yet for expected BOQ line
10735,APO2601639,148,9789,no job.cost.line yet for expected BOQ line
10604,APO2601608,245,9419,no job.cost.line yet for expected BOQ line
10116,APO2601502,1380,9277,no job.cost.line yet for expected BOQ line
10056,APO2601476,245,9250,no job.cost.line yet for expected BOQ line
9390,APO2601335,1419,8718,no job.cost.line yet for expected BOQ line
9069,APO2601295,245,8858,no job.cost.line yet for expected BOQ line
8878,APO2601208,1178,8717,no job.cost.line yet for expected BOQ line
8879,APO2601208,1419,8718,no job.cost.line yet for expected BOQ line
8361,APO2601084,378,8328,no job.cost.line yet for expected BOQ line
8285,APO2601064,1382,7532,no job.cost.line yet for expected BOQ line
7179,APO2600900,1353,7608,no job.cost.line yet for expected BOQ line
7009,APO2600875,1243,7563,no job.cost.line yet for expected BOQ line
6350,APO2600777,245,3973,no job.cost.line yet for expected BOQ line
6355,APO2600777,1380,3979,no job.cost.line yet for expected BOQ line
6373,APO2600777,262,4006,no job.cost.line yet for expected BOQ line
5245,APO2600614,193,6647,no job.cost.line yet for expected BOQ line
3550,APO2600412,245,4008,no job.cost.line yet for expected BOQ line
